STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,ACTIVITY,Economic activity,MEASURE,Measure,PRICE_BASE,Price base,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,EST_METHOD,Estimation methodology,OBS_STATUS,Observation status
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,GRC,Greece,A,"Agriculture, forestry and fishing",P1,Output,V,Current prices,XDC,National currency,2017,,13212.3705,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,DEU,Germany,A,"Agriculture, forestry and fishing",P1,Output,V,Current prices,XDC,National currency,2017,,59946,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,IRL,Ireland,C,Manufacturing,P1,Output,V,Current prices,XDC,National currency,2017,,195395.8601,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,GRC,Greece,B,Mining and quarrying,P1,Output,V,Current prices,XDC,National currency,2017,,1315.2595,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,SVK,Slovak Republic,C,Manufacturing,P1,Output,V,Current prices,XDC,National currency,2017,,72075.716,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,ESP,Spain,C,Manufacturing,P1,Output,V,Current prices,XDC,National currency,2017,,506087,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,ESP,Spain,A,"Agriculture, forestry and fishing",P1,Output,V,Current prices,XDC,National currency,2017,,58325,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,POL,Poland,C,Manufacturing,P1,Output,V,Current prices,XDC,National currency,2017,,1294371,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,PRT,Portugal,C,Manufacturing,P1,Output,V,Current prices,XDC,National currency,2017,,90408.35,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,FRA,France,B,Mining and quarrying,P1,Output,V,Current prices,XDC,National currency,2017,,4613,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,PRT,Portugal,A,"Agriculture, forestry and fishing",P1,Output,V,Current prices,XDC,National currency,2017,,8951.765,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,NLD,Netherlands,C,Manufacturing,P1,Output,V,Current prices,XDC,National currency,2017,,326476,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,IRL,Ireland,A,"Agriculture, forestry and fishing",P1,Output,V,Current prices,XDC,National currency,2017,,9564.3504,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,DEU,Germany,B,Mining and quarrying,P1,Output,V,Current prices,XDC,National currency,2017,,10899,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,PRT,Portugal,B,Mining and quarrying,P1,Output,V,Current prices,XDC,National currency,2017,,1245.552,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,LUX,Luxembourg,B,Mining and quarrying,P1,Output,V,Current prices,XDC,National currency,2017,,78.6,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,USA,United States,A,"Agriculture, forestry and fishing",P1,Output,V,Current prices,XDC,National currency,2017,,460938,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,POL,Poland,A,"Agriculture, forestry and fishing",P1,Output,V,Current prices,XDC,National currency,2017,,137504,,,,6,Millions,1,One,,,A,Normal value
