STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,SECT_PERF,Sector of performance,SECT_FUND,Sources of funds,TYPE_COST,Type of expenditure,SIZE_CLASS,Employment size class,ACTIVITY,Economic activity,CRITERIA,Classification criteria,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,AUX_OBS_STATUS,Aux observation status,AUX_OBS_STATUS_2,Aux observation status 2,AUX_OBS_STATUS_3,Aux observation status 3,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,BASE_PER,Base Period,CURRENCY,Currency,DECIMALS,Decimals
DATAFLOW,OECD.STI.STP:DSD_RDS_BERD@DF_BERD_INDU(1.0),Business enterprise R&D expenditure by industry,I,ITA,Italy,A,Annual,B,Business Enterprise Expenditure on R&D (BERD),BES,Business enterprise sector,_T,Total,_T,Total costs,_Z,Not applicable,C,Manufacturing,MA,Main activity,USD_PPP,"US dollars, PPP converted",V,Current prices,2017,,14716.72797,,,,,,,,,,,,,,,,6,Millions,,,,,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_BERD@DF_BERD_INDU(1.0),Business enterprise R&D expenditure by industry,I,DNK,Denmark,A,Annual,B,Business Enterprise Expenditure on R&D (BERD),BES,Business enterprise sector,_T,Total,_T,Total costs,_Z,Not applicable,B,Mining and quarrying,MA,Main activity,USD_PPP,"US dollars, PPP converted",V,Current prices,2017,,10.91436341,,,,,,,,,,,,,,,,6,Millions,,,,,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_BERD@DF_BERD_INDU(1.0),Business enterprise R&D expenditure by industry,I,POL,Poland,A,Annual,B,Business Enterprise Expenditure on R&D (BERD),BES,Business enterprise sector,_T,Total,_T,Total costs,_Z,Not applicable,C,Manufacturing,MA,Main activity,USD_PPP,"US dollars, PPP converted",V,Current prices,2017,,3032.85468,,,,,,,,,,,,,,,,6,Millions,,,,,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_BERD@DF_BERD_INDU(1.0),Business enterprise R&D expenditure by industry,I,GRC,Greece,A,Annual,B,Business Enterprise Expenditure on R&D (BERD),BES,Business enterprise sector,_T,Total,_T,Total costs,_Z,Not applicable,C,Manufacturing,MA,Main activity,USD_PPP,"US dollars, PPP converted",V,Current prices,2017,,510.7460171,,,,,,,,,,,,,,,,6,Millions,,,,,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_BERD@DF_BERD_INDU(1.0),Business enterprise R&D expenditure by industry,I,HUN,Hungary,A,Annual,B,Business Enterprise Expenditure on R&D (BERD),BES,Business enterprise sector,_T,Total,_T,Total costs,_Z,Not applicable,A,"Agriculture, forestry and fishing",MA,Main activity,USD_PPP,"US dollars, PPP converted",V,Current prices,2017,,27.84766879,,,,,,,,,,,,,,,,6,Millions,,,,,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_BERD@DF_BERD_INDU(1.0),Business enterprise R&D expenditure by industry,I,ITA,Italy,A,Annual,B,Business Enterprise Expenditure on R&D (BERD),BES,Business enterprise sector,_T,Total,_T,Total costs,_Z,Not applicable,A,"Agriculture, forestry and fishing",MA,Main activity,USD_PPP,"US dollars, PPP converted",V,Current prices,2017,,8.647693655,,,,,,,,,,,,,,,,6,Millions,,,,,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_BERD@DF_BERD_INDU(1.0),Business enterprise R&D expenditure by industry,I,SVK,Slovak Republic,A,Annual,B,Business Enterprise Expenditure on R&D (BERD),BES,Business enterprise sector,_T,Total,_T,Total costs,_Z,Not applicable,A,"Agriculture, forestry and fishing",MA,Main activity,USD_PPP,"US dollars, PPP converted",V,Current prices,2017,,1.113405893,,,,,,,,,,,,,,,,6,Millions,,,,,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_BERD@DF_BERD_INDU(1.0),Business enterprise R&D expenditure by industry,I,SWE,Sweden,A,Annual,B,Business Enterprise Expenditure on R&D (BERD),BES,Business enterprise sector,_T,Total,_T,Total costs,_Z,Not applicable,C,Manufacturing,MA,Main activity,USD_PPP,"US dollars, PPP converted",V,Current prices,2017,,,,,,,,,,,,,,,,C,Confidential statistical information,6,Millions,,,,,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_BERD@DF_BERD_INDU(1.0),Business enterprise R&D expenditure by industry,I,FIN,Finland,A,Annual,B,Business Enterprise Expenditure on R&D (BERD),BES,Business enterprise sector,_T,Total,_T,Total costs,_Z,Not applicable,B,Mining and quarrying,MA,Main activity,USD_PPP,"US dollars, PPP converted",V,Current prices,2017,,19.33638652,,,,,,,,,,,,,,,,6,Millions,,,,,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_BERD@DF_BERD_INDU(1.0),Business enterprise R&D expenditure by industry,I,PRT,Portugal,A,Annual,B,Business Enterprise Expenditure on R&D (BERD),BES,Business enterprise sector,_T,Total,_T,Total costs,_Z,Not applicable,A,"Agriculture, forestry and fishing",MA,Main activity,USD_PPP,"US dollars, PPP converted",V,Current prices,2017,,19.57206741,,,,,,,,,,,,,,,,6,Millions,,,,,3,Three
